Code,Description
900,VIOLATION OF COURT ORDER
740,VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)
946,OTHER MISCELLANEOUS CRIME
122,RAPE, ATTEMPTED
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
330,BURGLARY FROM VEHICLE
230,ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT
341,THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD
624,BATTERY - SIMPLE ASSAULT
210,ROBBERY
755,BOMB SCARE
237,CHILD NEGLECT (SEE 300 W.I.C.)
236,INTIMATE PARTNER - AGGRAVATED ASSAULT
626,INTIMATE PARTNER - SIMPLE ASSAULT
440,THEFT PLAIN - PETTY ($950 & UNDER)
930,CRIMINAL THREATS - NO WEAPON DISPLAYED
220,ATTEMPTED ROBBERY
745,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
310,BURGLARY
648,ARSON
121,RAPE, FORCIBLE
761,BRANDISH WEAPON
647,THROWING OBJECT AT MOVING VEHICLE
343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER)
627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT
251,SHOTS FIRED AT INHABITED DWELLING
331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER)
510,VEHICLE - STOLEN
920,KIDNAPPING - GRAND ATTEMPT
110,CRIMINAL HOMICIDE
441,THEFT PLAIN - ATTEMPT
350,THEFT, PERSON
888,TRESPASSING
910,KIDNAPPING
520,VEHICLE - ATTEMPT STOLEN
860,BATTERY WITH SEXUAL CONTACT
649,DOCUMENT FORGERY / STOLEN FELONY
623,BATTERY POLICE (SIMPLE)
235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT
886,DISTURBING THE PEACE
625,OTHER ASSAULT
901,VIOLATION OF RESTRAINING ORDER
762,LEWD CONDUCT
812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)
354,THEFT OF IDENTITY
231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER
813,CHILD ANNOYING (17YRS & UNDER)
821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH
820,ORAL COPULATION
943,CRUELTY TO ANIMALS
420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
956,LETTERS, LEWD  -  TELEPHONE CALLS, LEWD
932,PEEPING TOM
850,INDECENT EXPOSURE
480,BIKE - STOLEN
410,BURGLARY FROM VEHICLE, ATTEMPTED
320,BURGLARY, ATTEMPTED
763,STALKING
928,THREATENING PHONE CALLS/LETTERS
810,SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ
664,BUNCO, PETTY THEFT
902,VIOLATION OF TEMPORARY RESTRAINING ORDER
662,BUNCO, GRAND THEFT
668,EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)
815,SEXUAL PENETRATION W/FOREIGN OBJECT
940,EXTORTION
352,PICKPOCKET
670,EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)
351,PURSE SNATCHING
756,WEAPONS POSSESSION/BOMBING
660,COUNTERFEIT
951,DEFRAUDING INNKEEPER/THEFT OF SERVICES, $400 & UNDER
434,FALSE IMPRISONMENT
653,CREDIT CARDS, FRAUD USE ($950.01 & OVER)
753,DISCHARGE FIREARMS/SHOTS FIRED
950,DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $400
450,THEFT FROM PERSON - ATTEMPT
661,UNAUTHORIZED COMPUTER ACCESS
806,PANDERING
805,PIMPING
453,DRUNK ROLL - ATTEMPT
443,SHOPLIFTING - ATTEMPT
437,RESISTING ARREST
345,DISHONEST EMPLOYEE - GRAND THEFT
438,RECKLESS DRIVING
933,PROWLER
654,CREDIT CARDS, FRAUD USE ($950 & UNDER
651,DOCUMENT WORTHLESS ($200.01 & OVER)
922,CHILD STEALING
903,CONTEMPT OF COURT
944,CONSPIRACY
421,THEFT FROM MOTOR VEHICLE - ATTEMPT
353,DRUNK ROLL
622,BATTERY ON A FIREFIGHTER
949,ILLEGAL DUMPING
435,LYNCHING
474,THEFT, COIN MACHINE - PETTY ($950 & UNDER)
347,GRAND THEFT / INSURANCE FRAUD
666,BUNCO, ATTEMPT
880,DISRUPT SCHOOL
473,THEFT, COIN MACHINE - GRAND ($950.01 & OVER)
439,FALSE POLICE REPORT
451,PURSE SNATCHING - ATTEMPT
487,BOAT - STOLEN
250,SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT
433,DRIVING WITHOUT OWNER CONSENT (DWOC)
954,CONTRIBUTING
890,FAILURE TO YIELD
472,TILL TAP - ATTEMPT
865,DRUGS, TO A MINOR
882,INCITING A RIOT
840,BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM
942,BRIBERY
436,LYNCHING - ATTEMPTED
924,TELEPHONE PROPERTY - DAMAGE
870,CHILD ABANDONMENT
475,THEFT, COIN MACHINE - ATTEMPT
444,DISHONEST EMPLOYEE - PETTY THEFT
446,PETTY THEFT - AUTO REPAIR
948,BIGAMY
471,TILL TAP - PETTY ($950 & UNDER)
470,TILL TAP - GRAND THEFT ($950.01 & OVER)
652,DOCUMENT WORTHLESS ($200 & UNDER)
113,MANSLAUGHTER, NEGLIGENT
452,PICKPOCKET, ATTEMPT
349,GRAND THEFT / AUTO REPAIR
822,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS
760,LEWD/LASCIVIOUS ACTS WITH CHILD
845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE
485,BIKE - ATTEMPTED STOLEN
884,FAILURE TO DISPERSE
931,REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)
921,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE
814,CHILD PORNOGRAPHY
952,ABORTION/ILLEGAL
830,INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES)
445,DISHONEST EMPLOYEE ATTEMPTED THEFT
926,TRAIN WRECKING
432,BLOCKING DOOR INDUCTION CENTER
906,FIREARMS RESTRAINING ORDER (FIREARMS RO)
522,VEHICLE - MOTORIZED SCOOTERS, BICYCLES, AND WHEELCHAIRS
905,FIREARMS TEMPORARY RESTRAINING ORDER (TEMP FIREARMS RO)
904,FIREARMS EMERGENCY PROTECTIVE ORDER (FIREARMS EPO)
